,Name,Representation,Representative_Docs,Better_Names
0,-1_the_to_is_of,"['hardest working president', 'fake corrupt news media', 'fake numbers', 'witch hunt']","['the people that know me and know the history of our country say that i am the hardest working president in history i don t know about that but i am a hard worker and have probably gotten more done in the first years than any president in history the fake news hates it', 'the fake corrupt news media said they had a leak into polling done by my campaign which by the way and despite the phony and never ending witch hunt are the best numbers we have ever had they reported fake numbers that they made up amp don t even exist we will win again', 'thank you to for the really nice words on all we are doing and have done we will win']",Donald Trump's Presidency and Media Relations
1,0_run_president_trump_donald,"['run', 'president', 'trump', 'donald', 'mr', 'please', 'need', 'you', 'vote', 'needs']","['morgansscool please run for president you have my vote we need more people like you in this world you re a great man', 'i hope you can go to and vote for donald trump in order to make america great again thanks', 'its time can please run for president']",Donald Trump's Presidential Campaign
2,1_crowd_carolina_thank_rally,"['crowd', 'carolina', 'thank', 'rally', 'join', 'iowa', 'pennsylvania', 'florida', 'ohio', 'maga']","['thank you south carolina makeamericagreatagain trump', 'thank you south carolina now let s get out tomorrow and vote for', 'just left a great rally in florida now heading to ohio for two more will be there soon']",Trump Campaign Rallies in Various States
3,2_golf_course_doral_scotland,"['golf', 'course', 'doral', 'scotland', 'club', 'turnberry', 'links', 'courses', 'national', 'miami']","['business what it s like to play new york city golf course', 'the people of scotland love trump international golf links', 'i ll be playing golf tomorrow in palm beach at the number one rated golf course in the state of florida trump international golf club']",Trump Golf Courses
4,3_entrepreneurs_yourself_think_your,"['entrepreneurs', 'yourself', 'think', 'your', 'success', 'focus', 'work', 'you', 'keep', 'champion']","['entrepreneurs look at the solution not the problem learn to focus on what will give results', 'entrepreneurs see yourself as victorious look at the solution not the problem keep your focus positive', 'entrepreneurs keep your focus and keep your momentum believe in yourself if you don t no one else will either']",Self-Motivation Strategies for Entrepreneurs
5,4_border_wall_mexico_immigration,"['border', 'wall', 'mexico', 'immigration', 'security', 'southern', 'illegal', 'democrats', 'laws', 'our']","['congress must change the immigration laws now dems won t act wall is being built miles by end of next year mexico must stop the march to border', 'we have a state of emergency at our southern border border patrol our military and local law enforcement are doing a great job but without the wall which is now under major construction you cannot have border security drugs gangs and human trafficking must be stopped', 'our great country must have border security']",U.S.-Mexico Border Wall and Immigration Policy
6,5_hotel_chicago_tower_building,"['hotel', 'chicago', 'tower', 'building', 'sign', 'trump', 'nyc', 'luxury', 'vegas', 'hotels']","['check out trump international hotel tower new york spectacular', 'trump int l hotel amp tower chicago is one of very few hotels in no america w a star diamond hotel amp a star diamond restaurant', 'ribkamaria rt stunning hotel trump international hotel amp tower chicago']",Trump International Hotel and Tower Properties
7,6_china_trade_tariffs_chinese,"['china', 'trade', 'tariffs', 'chinese', 'us', 'farmers', 'deal', 'our', 'currency', 'we']","['there will be nobody left in china to do business with very bad for china very good for usa but china has taken so advantage of the u s for so many years that they are way ahead our presidents did not do the job therefore china should not retaliate will only get worse', 'there will be nobody left in china to do business with very bad for china very good for usa but china has taken so advantage of the u s for so many years that they are way ahead our presidents did not do the job therefore china should not retaliate will only get worse', 'right now we are running a massive billion trade deficit with china that means every year china is cont']",US-China Trade Relations and Tariffs
8,7_media_fake_news_story,"['media', 'fake', 'news', 'story', 'dishonest', 'failing', 'they', 'sources', 'reporting', 'times']","['cnn and others in the fake news business keep purposely and inaccurately reporting that i said the media is the enemy of the people wrong i said that the fake news media is the enemy of the people a very big difference when you give out false information not good', 'wow so many fake news stories today no matter what i do or say they will not write or speak truth the fake news media is out of control', 'the fake news media has never been more dishonest or corrupt than it is right now there has never been a time like this in american history very exciting but also very sad fake news is the absolute enemy of the people and our country itself']",Misinformation and Bias in Media Reporting
9,8_obamacare_healthcare_repeal_website,"['obamacare', 'healthcare', 'repeal', 'website', 'premiums', 'medicare', 'replace', 'plan', 'care', 'insurance']","['we will immediately repeal and replace obamacare and nobody can do that like me we will save s and have much better healthcare', 'as usual the obamacare premiums will be up the dems own it but we will repeal amp replace and have great healthcare soon after tax cuts', 'where are and obamacare']",Affordable Care Act Repeal Efforts
10,9_amp_you_it_are,"['amp', 'you', 'it', 'are', 'to', 'we', 'great', 'on', 'for', 'be']","['in order to draintheswamp amp create a new government of by amp for the people i need your vote go to let s maga', 'my int with on obama being all talk amp no action amp making america great again', 'the great patriots of rolling thunder will be coming back to washington d c next year amp hopefully for many years to come it is where they want to be amp where they should be have a wonderful time today thank you to our great men amp women of the pentagon for working it out']",Donald Trump's Political Rhetoric and Campaigns
11,10_veterans_honor_heroes_our,"['veterans', 'honor', 'heroes', 'our', 'day', 'today', 'nation', 'women', 'men', 'we']","['happy veterans day', 'on this vietnam war veterans day we celebrate the brave vietnam veterans and all of america s veterans thank you for your service to our great nation', 'always great to speak with veterans our nation s heroes we will make america great again']",Honoring Our Veterans and Heroes
12,11_celebapprentice_celebrityapprentice_show_season,"['celebapprentice', 'celebrityapprentice', 'show', 'season', 'boardroom', 'wait', 'tv', 'love', 'tonight', 'episode']","['who do you think is going home celebapprentice', 'let s go celebapprentice', 'people love celebapprentice']",The Celebrity Apprentice Season
13,12_mayor_cuomo_police_anarchists,"['mayor', 'cuomo', 'police', 'anarchists', 'portland', 'baltimore', 'york', 'protesters', 'guard', 'governor']","['other democrat run cities and states should look at the total shutdown of radical left anarchists in minneapolis last night the national guard did a great job and should be used in other states before it is too late', 'democrats and biden didn t even mention the anarchists agitators looters and so called peaceful protesters at their convention they will allow rampant crime just as they do in portland if they ask us as they must do we will end crime in their democrat run cities fast', 'congratulations to our national guard for the great job they did immediately upon arriving in minneapolis minnesota last night the antifa led anarchists among others were shut down quickly should have been done by mayor on first night and there would have been no trouble']",Government Response to Anarchist Protests in U.S. Cities
14,13_nice_idea_thanks_so,"['nice', 'idea', 'thanks', 'so', 'enjoy', 'very', 'good', 'it', 'wrong', 'cute']","['very nice thanks', 'very nice thanks', 'so nice thanks']",Expressions of Gratitude and Appreciation
15,14_isis_syria_iraq_turkey,"['isis', 'syria', 'iraq', 'turkey', 'kurds', 'oil', 'attack', 'syrian', 'we', 'obama']","['likewise do not want the kurds to provoke turkey russia iran and syria have been the biggest beneficiaries of the long term u s policy of destroying isis in syria natural enemies we also benefit but it is now time to bring our troops back home stop the endless wars', 'so obama wants to bomb isis in iraq amp arm them in syria what is he doing', 'we defeated of the isis caliphate and no longer have any troops in the area under attack by turkey in syria we did our job perfectly now turkey is attacking the kurds who have been fighting each other for years']",ISIS Influence and Conflict in Syria and Iraq
16,15_apprentice_celebrity_nbc_season,"['apprentice', 'celebrity', 'nbc', 'season', 'episode', 'sunday', 'tonight', 'show', 'watch', 'pm']","['the celebrity apprentice sunday night at pm on nbc another great episode', 'the apprentice will be great', 'watch celebrity apprentice on now']",The Celebrity Apprentice Season 15 on NBC
17,16_poll_polls_lead_numbers,"['poll', 'polls', 'lead', 'numbers', 'carson', 'new', 'trump', 'iowa', 'leading', 'gop']","['a great new poll', 'great new poll', 'new poll thank you trump']",GOP Iowa Caucus Polling Trends
18,17_endorsement_complete_congressman_total,"['endorsement', 'complete', 'congressman', 'total', 'amendment', 'vets', 'second', 'strong', 'military', 'has']","['john is strong on crime and borders loves our military our vets and our second amendment he will be a star he has my full and total endorsement', 'matt is great strong on military vets and our great nd amendment has my complete and total endorsement', 'congressman is a strong supporter and fighter for the people of ohio he will help us maga he s strong on the border tough on crime will protect our vets and our great second amendment mike has my complete and total endorsement']",Presidential Endorsements for Pro-Military and Second Amendment Congressmen
19,18_thanks_thank_you_david,"['thanks', 'thank', 'you', 'david', 'dan', 'james', 'andrew', 'steve', 'nathalie', 'brad']","['thanks bill', 'thank you amp', 'thank you amp']",Expressions of Gratitude to Individuals
20,19_thanks_fifth_think_dope,"['thanks', 'fifth', 'think', 'dope', 'appreciate', 'everybody', 'says', 'th', 'even', 'many']","['thanks', 'thanks', 'thanks']",Expressions of Gratitude
21,20_coronavirus_testing_vaccine_autism,"['coronavirus', 'testing', 'vaccine', 'autism', 'virus', 'covid', 'cases', 'vaccines', 'ventilators', 'china']","['tell the dems that we have more cases because we do far more testing than any other country', 'new china virus cases up because of massive testing deaths are down low and steady the fake news media should report this and also that new job numbers are setting records', 'the only reason the u s has reported one million cases of coronavirus is that our testing is sooo much better than any other country in the world other countries are way behind us in testing and therefore show far fewer cases']",COVID-19 Testing and Reporting Dynamics
22,21_biden_joe_sleepy_fracking,"['biden', 'joe', 'sleepy', 'fracking', 'he', 'wins', 'energy', 'swine', 'hunter', 'flu']","['i did more in months as president than sleepy joe biden did in years maga', 'congratulations to sleepy joe biden', 'sleepy joe biden']",Joe Biden's Energy Policies and Nicknames
23,22_ballots_election_fraud_mail,"['ballots', 'election', 'fraud', 'mail', 'rigged', 'voter', 'voting', 'ballot', 'votes', 'pennsylvania']","['absentee ballots are a great way to vote for the many senior citizens military and others who can t get to the polls on election day these ballots are very different from mail in voting which is ripe for fraud and shouldn t be allowed', 'absentee ballots are fine a person has to go through a process to get and use them mail in voting on the other hand will lead to the most corrupt election is usa history bad things happen with mail ins just look at special election in patterson n j of ballots a fraud', 'barr mail in ballots absolutely opens the floodgates to fraud via this will be the election disaster of our time mail in ballots will lead to a rigged election']",Mail-In Voting and Election Fraud Concerns
24,23_ties_macy_shirts_collection,"['ties', 'macy', 'shirts', 'collection', 'tie', 'signature', 'available', 'exclusively', 'bought', 'suits']","['people are loving the new line of trump ties and shirts at macy s check them out', 'shirts and ties are doing great', 'my ties shirts and cufflinks have never been more beautiful the best available at macy s']",Macy's Exclusive Trump Signature Tie and Shirt Collection
25,24_melania_ivanka_lady_daughter,"['melania', 'ivanka', 'lady', 'daughter', 'first', 'melaniatrump', 'wife', 'flotus', 'her', 'beautiful']","['melania will be interviewed by on now a m enjoy', 'happy birthday to melania our great first lady', 'watch my wife melania trump tonight on at a m so proud of her']",Melania Trump and Ivanka Trump: Family of the First Lady
26,25_america_again_together_we,"['america', 'again', 'together', 'we', 'make', 'country', 'safe', 'our', 'great', 'are']","['together we are going to make america safe and great again', 'we have to make america great again', 'thank you we will make america great again']",Making America Great Again
27,26_thank_you_appreciate_and,"['thank', 'you', 'appreciate', 'and', 'it', 'to', '', '', '', '']","['thank you', 'thank you', 'thank you']",Expressions of Gratitude
28,27_hillary_crooked_clinton_she,"['hillary', 'crooked', 'clinton', 'she', 'her', 'judgement', 'bad', 'hillaryclinton', 'draintheswamp', 'bernie']","['crooked hillary clinton created this mess and she knows it draintheswamp', 'after today crooked hillary can officially be called lyin crooked hillary', 'crooked hillary clinton likes to talk about the things she will do but she has been there for years why didn t she do them']",Criticism of Hillary Clinton
29,28_party_democrats_radical_left,"['party', 'democrats', 'radical', 'left', 'republicans', 'republican', 'dems', 'nothing', 'they', 'are']","['the republican party is the party of the american dream', 'no matter what you give to the radical left do nothing democrats it will never be enough', 'radical left democrats are going crazy']",Radical Left Democrats in American Politics
30,29_wind_turbines_scotland_ugly,"['wind', 'turbines', 'scotland', 'ugly', 'bird', 'windfarm', 'windmills', 'alexsalmond', 'birds', 'killing']","['on ruining scotland s beauty with ugly amp costly wind turbines', 'like ugly bird killing wind turbines', 'wind turbines are a disaster']",Controversy Over Wind Turbines in Scotland
31,30_iran_nuclear_iranian_deal,"['iran', 'nuclear', 'iranian', 'deal', 'sanctions', 'kerry', 'weapons', 'united', 'attack', 'obama']","['the iran nuclear deal is a terrible one for the united states and the world it does nothing but make iran rich and will lead to catastrophe', 'a terrible deal with iran', 'statement on the iran nuclear deal']",Iran Nuclear Deal
32,31_oil_gas_opec_prices,"['oil', 'gas', 'opec', 'prices', 'keystone', 'energy', 'pipeline', 'coal', 'cont', 'barrel']","['a gallon gas and we have yet to approve the keystone xl pipeline opec is laughing at us', 'oil prices are too high opec is at it again not good', 'opec has just raised oil to over barrel and still won t approve the keystone pipeline does he want high gas prices']",OPEC's Influence on Oil and Gas Prices and Pipeline Politics
33,32_book_read_books_new,"['book', 'read', 'books', 'new', 'reading', 'copy', 'great', 'written', 'author', 'out']","['great book', 'great book', 'great book']",New and Noteworthy Books to Read
34,33_via_donald_by_trump,"['via', 'donald', 'by', 'trump', 'cpac', 'gop', 'iowa', 'speak', 'eugene', 'run']","['via', 'via', 'via by']",Donald Trump's Potential Run for Presidency Announced at CPAC
35,34_obama_president_he_barack,"['obama', 'president', 'he', 'barack', 'carter', 'jimmy', 'barackobama', 'bush', 'worst', 'is']","['i was never a big fan of bush he gave us obama', 'i was never a fan of bush in fact he was so bad he gave us obama but obama is truly a pathetic excuse of a president can t get any worse', 'trump on obama i never thought it would be this bad via']",Criticism of Barack Obama's Presidency
36,35_korea_north_kim_jong,"['korea', 'north', 'kim', 'jong', 'un', 'south', 'meeting', 'nuclear', 'chairman', 'china']","['just landed a long trip but everybody can now feel much safer than the day i took office there is no longer a nuclear threat from north korea meeting with kim jong un was an interesting and very positive experience north korea has great potential for the future', 'all false reporting guessing on my intentions with respect to north korea kim jong un and i will try very hard to work something out on denuclearization amp then making north korea an economic powerhouse i believe that china russia japan amp south korea will be very helpful', 'leaving south korea after a wonderful meeting with chairman kim jong un stood on the soil of north korea an important statement for all and a great honor']",North Korea Diplomacy and Kim Jong-un
37,36_tax_taxes_cuts_cut,"['tax', 'taxes', 'cuts', 'cut', 'raise', 'reform', 'fiscal', 'biggest', 'growth', 'cliff']","['democrats don t want massive tax cuts how does that win elections great reviews for tax cut and reform bill', 'and it will get even better with tax cuts', 'as the world watches we are days away from passing historic tax cuts for american families and businesses it will be the biggest tax cut and tax reform in the history of our country']",U.S. Tax Reform and Tax Cuts
38,37_prayers_condolences_families_enforcement,"['prayers', 'condolences', 'families', 'enforcement', 'thoughts', 'victims', 'law', 'officers', 'shooting', 'responders']","['my prayers and condolences to the victims and families of the terrible tragedy in nice france we are with you in every way', 'my thoughts and prayers are with the two police officers their families and everybody at the', 'my thoughts condolences and prayers to the victims and families of the new york city terrorist attack god and your country are with you']",Support and Remembrance for Victims of Tragedies and Their Families
39,38_interviewed_enjoy_tonight_at,"['interviewed', 'enjoy', 'tonight', 'at', 'be', 'will', 'on', 'morning', 'by', 'interview']","['will be interviewed by on tonight at p m enjoy', 'i will be interviewed by tonight at p m on enjoy', 'will be interviewed by tonight at p m on enjoy']",Scheduled Interview Broadcast for Tonight
40,39_interview_discussing_my_gop,"['interview', 'discussing', 'my', 'gop', 'iontv', 'newsmax', 'primary', 'yesterday', 'trumptuesday', 'with']","['my interview with discussing my endorsement of and why he can beat', 'my interview with yesterday discussing by meeting with', 'my interview']",My GOP Endorsement Discussion Interview
41,40_cnn_ratings_news_fake,"['cnn', 'ratings', 'news', 'fake', 'msnbc', 'scarborough', 'nbc', 'morning', 'joe', 'psycho']","['cnn is fake news and all smart people know that', 'the fake news of big ratings loser cnn', 'cnn at a m']",CNN's Credibility and Ratings Controversy
42,41_impeachment_hoax_impeach_nothing,"['impeachment', 'hoax', 'impeach', 'nothing', 'democrats', 'impeached', 'do', 'president', 'dems', 'wrong']","['a total impeachment scam by the do nothing democrats', 'impeachment is a terrible idea for the country the more people learn about impeachment the less people want impeachment', 'the president did nothing wrong here there is no crime impeachment hoax']",Presidential Impeachment Controversy
43,42_true_so_thanks_sadly,"['true', 'so', 'thanks', 'sadly', 'but', 'sooooo', 'and', 'thank', 'opposite', 'very']","['true', 'true', 'true']",Gratitude and Politeness Expressions
44,43_miss_pageant_universe_usa,"['miss', 'pageant', 'universe', 'usa', 'missuniverse', 'moscow', 'nbc', 'et', 'missusa', 'live']","['will be in louisiana for the miss usa pageant which will be on nbc on sunday night watch miss pennsylvania an interesting and amazing story', 'miss usa pageant is much better', 'excited to announce that amp will be hosting the miss universe pageant great ratings for miss universe']",Miss Universe and Miss USA Pageants
45,44_mueller_report_collusion_obstruction,"['mueller', 'report', 'collusion', 'obstruction', 'no', 'robert', 'democrats', 'angry', 'witch', 'hunt']","['this should have been over with after the mueller report came out', 'bob mueller was a great hero to the radical left democrats now that the mueller report is finished with a finding of no collusion amp no obstruction based on a review of report by our highly respected a g the dems are going around saying bob who sorry don t know the man', 'highly conflicted robert mueller should not be given another bite at the apple in the end it will be bad for him and the phony democrats in congress who have done nothing but waste time on this ridiculous witch hunt result of the mueller report no collusion no obstruction']",Mueller Report Findings on Russian Collusion and Obstruction of Justice
46,45_christmas_happy_merry_easter,"['christmas', 'happy', 'merry', 'easter', 'year', 'thanksgiving', 'everyone', 'holiday', 'wishing', 'new']","['merry christmas', 'i d like to wish all of my friends and even my many enemies a very merry christmas and happy new year', 'merry christmas and a very very very very happy new year to everyone']",Holiday Greetings and Well Wishes
47,46_makeamericagreatagain_trump_america_donald,"['makeamericagreatagain', 'trump', 'america', 'donald', 'know', 'trumpforpresident', 'la', 'needs', 'only', 'makeamericaworkagain']","['makeamericagreatagain trump', 'makeamericagreatagain trump', 'makeamericagreatagain trump']",Donald Trump's Presidential Campaign Slogans
48,47_secretary_pleased_general_acting,"['secretary', 'pleased', 'general', 'acting', 'announce', 'ambassador', 'director', 'attorney', 'outstanding', 'service']","['i am pleased to announce that mick mulvaney director of the office of management amp budget will be named acting white house chief of staff replacing general john kelly who has served our country with distinction mick has done an outstanding job while in the administration', 'we are pleased to announce that matthew g whitaker chief of staff to attorney general jeff sessions at the department of justice will become our new acting attorney general of the united states he will serve our country well', 'i am pleased to inform you that i have just named general secretary john f kelly as white house chief of staff he is a great american']",High-Level Government Appointments and Acting Officials
49,48_israel_peace_jerusalem_jewish,"['israel', 'peace', 'jerusalem', 'jewish', 'tlaib', 'omar', 'anti', 'congresswomen', 'arab', 'bahrain']","['thank you to wayne allyn root for the very nice words president trump is the greatest president for jews and for israel in the history of the world not just america he is the best president for israel in the history of the world and the jewish people in israel love him', 'thank you pm and the state of israel for this great honor', 'big day for israel congratulations']",Israel-United States Relations and Peace Efforts
50,49_debate_debates_drudge_won,"['debate', 'debates', 'drudge', 'won', 'polls', 'poll', 'last', 'night', 'would', 'said']","['thanks everyone they all said i won the debate even won the poll', 'i won every debate so far according to all debate polls including and more too bad dopey lies', 'wow every poll said i won the debate last night great honor']",Political Debate Victory Claims
51,50_charity_sugar_money_million,"['charity', 'sugar', 'money', 'million', 'charities', 'raised', 'research', 'jude', 'goal', 'dopey']","['i can t wait to donate million to charity just waiting on to send me the money', 'dopey is in for a lot of trouble i hope he has million for charity', 'we have raised millions of dollars for charity']",Million Dollar Charity Fundraising
52,51_collusion_russia_hunt_witch,"['collusion', 'russia', 'hunt', 'witch', 'russian', 'hoax', 'no', 'there', 'campaign', 'intelligence']","['the senate intelligence committee there is no evidence of collusion between the trump campaign and russia', 'no collusion rigged witch hunt', 'witch hunt there was no russian collusion oh i see there was no russian collusion so now they look for obstruction on the no russian collusion the phony russian collusion was a made up hoax too bad they didn t look at crooked hillary like this double standard']",Trump-Russia Collusion Allegations and Investigations
53,52_schiff_whistleblower_adam_shifty,"['schiff', 'whistleblower', 'adam', 'shifty', 'call', 'conversation', 'corrupt', 'ukrainian', 'congress', 'politician']","['where s the whistleblower where s the second whistleblower where s the informer why did corrupt politician schiff make up my conversation with the ukrainian president why didn t the house do its job and sooo much more', 'shifty schiff now seems to think they don t need the whistleblower who started the whole scam the reason is that the whistleblower has lost all credibility because the story is so far from the facts on the transcript also the second whistleblower is no longer even mentioned', 'the whistleblower must come forward to explain why his account of the phone call with the ukrainian president was so inaccurate fraudulent why did the whistleblower deal with corrupt politician shifty adam schiff and or his committee']",Adam Schiff and the Ukrainian Whistleblower Controversy
54,53_debt_trillion_ceiling_deficit,"['debt', 'trillion', 'ceiling', 'deficit', 'budget', 'national', 'scary', 'obama', 'over', 'deficits']","['america has lost its aaa rating and gained over t in debt under and now he wants to raise the debt ceiling scary', 'inherited trillion in national debt will leave after his first term with the debt at over trillion', 'republicans remember debt ceiling debt ceiling debt ceiling be smart and you will win']",United States National Debt and Debt Ceiling Controversies
